zrBrl2iQUr,No,No,No,,,,
zpayaLaUhL,No,No,No,,,,
zeGXjQYhXz,No,No,No,,,,
zdMislOLTv,No,No,No,,,,
zaBPb6Pu21,No,No,No,,,,
zWGDn1AmRH,No,No,No,,,,
zVi11zjaPe,No,No,No,No,,,
zSUOfRVl28,No,No,No,No,,,
zM3mlyflTt,No,No,No,No,,,
zLAHDHhgLa,No,No,Yes,,,,
zIgc1Qeceh,No,No,No,,,,
zIb2DlqBxm,No,No,No,,,,
zEJFYWWmbG,No,No,No,,,,
zByqDt16qZ,No,No,No,,,,
z9l6nHpTyT,No,No,No,,,,
z9CqYTwOiO,No,No,No,,,,
z8gM4ZfK8l,No,No,No,,,,
z69tlSxAwf,No,No,No,No,,,
z2JVmJ6Tlq,No,No,No,,,,
z1RYLqEpuP,No,No,No,,,,
ytQFU2XsBR,No,No,No,No,,,
yjqgHcTLnP,No,No,No,,,,
ybc9V6Cbq2,No,No,No,,,,
yXYJPAlLqn,No,No,No,,,,
yXVLsdvyg9,No,No,No,No,,,
yVoLLzLwdp,No,No,No,,,,
yThuxNysaJ,No,No,No,,,,
yO4cAfFjlp,No,No,No,,,,
yKLUvxMCQ3,No,No,No,,,,
yF3lSXb82y,No,No,No,,,,
yE44WcphJY,No,No,No,,,,
yDeIWA7ICp,No,No,No,,,,
yBd2UREDNL,No,No,No,,,,
yB8cQIICqe,No,No,Yes,,,,
yAZSZob2dN,No,No,No,,,,
y8ebFPsyET,No,No,No,,,,
y6Ej5BZkrR,No,No,No,,,,
y5ctUSk99X,No,No,No,,,,
y5UTUcTQU5,No,No,No,,,,
y34lg6q50A,No,No,No,,,,
y2V6YgLaW7,No,No,No,No,,,
y0P5KXN5X1,No,No,No,,,,
xzveggFhiQ,No,No,No,,,,
xyvTFX7hDs,No,No,No,,,,
xxTtwEuOpS,No,No,No,,,,
xp4wEivhM9,No,No,No,,,,
xozJw0kZXF,No,No,No,,,,
xn8NKZosDV,No,No,No,,,,
xlg5jVmPSg,No,No,No,,,,
xhqICRykZk,No,No,No,,,,
xfTQmGPPtQ,No,No,No,,,,
xeecFHJ4d4,No,No,No,,,,
xbnNgqGefc,No,No,No,,,,
xarWXEhhdy,No,No,No,No,,,
xapBkUt0yf,No,No,No,,,,
xX2KjzdFPH,No,No,No,No,,,
xVMV2IYbWH,No,No,No,,,,
xQbFsx8usC,No,No,No,,,,
xOyBEJq0O8,No,No,No,No,,,
xNzu8DivUj,No,No,No,,,,
xMudYCcBum,No,No,No,,,,
xL8SLt02mt,No,No,No,,,,
xKRg5dfWyv,No,No,No,,,,
xJ3O94DnMZ,No,No,No,,,,
xF6ORNff2k,No,No,No,,,,
xDfyOL1unK,No,No,No,,,,
xCXlOmGimw,No,No,No,,,,
x9BmfezTvD,No,No,No,,,,
x7zquRQfoB,No,No,No,,,,
x6aiktiAl8,Yes,No,No,No,,,
x3e1zQ1ub1,No,No,No,,,,
x32rlkzM69,No,No,No,,,,
x2W2dKdNI8,No,No,No,,,,
wwm55qcNdK,No,No,No,,,,
wtqb7pNL4e,Yes,No,No,,,,
wrBIS6FOfV,No,No,No,,,,
wpsbUYi9nN,No,No,No,,,,
wpjRa3d9OJ,No,No,No,,,,
wnE8wDd61Z,No,No,No,,,,
wirDXDQwYZ,No,No,No,,,,
wiI8ycNfgJ,No,No,No,No,,,
wcqBfk4jv6,No,No,No,,,,
wcgfB88Slx,No,No,No,,,,
wZmgpJMdb3,No,No,No,,,,
wZKRStVJJe,No,No,Yes,,,,
wYdA8CF94e,No,No,No,,,,
wWT51dSyBj,No,No,No,,,,
wWFWwyXElN,No,No,No,,,,
wV44qtTJ61,No,No,No,,,,
wRwbv3aWzN,No,No,No,,,,
wKqdk1sOMY,No,No,No,,,,
wFaBjgGqaL,No,No,No,,,,
wFILOtxmxU,No,No,No,,,,
wDfXP6uAkR,No,No,No,,,,
w8LoOWsbU7,No,No,No,,,,
w4YwLzuD29,No,No,No,,,,
w4FwmICSHZ,No,No,No,,,,
